FirstName,LastName,ExitDate,Supervisor,ADEmail,TerminationType,TerminationDescription,JobFunctionDescription,Employee ID
Kaitlynn,Blair,44935,Steven Carter,kaitlynn.blair@bilearner.com,Involuntary,Partner perhaps they rock.,Lineman,3738
Amir,Melendez,44277,Rachel Pham,amir.melendez@bilearner.com,Voluntary,Themselves specific seem want seek hospital.,Tower Hand,3739
Monique,Buckley,44974,Christopher Cunningham,monique.buckley@bilearner.com,Voluntary,Final like human late job.,Intern,3740
Clark,Blanchard,45013,Brittany Marshall,clark.blanchard@bilearner.com,Voluntary,Board industry once tough investment age.,Engineer,3741
Gabriel,Pearson,45061,Ryan Anderson,gabriel.pearson@bilearner.com,Resignation,Wait small thing staff.,Manager,3742
Jordan,Davis,44110,Sarah Cross,jordan.davis@bilearner.com,Involuntary,So give cause soldier.,Technician,3745
Gabriel,Kirk,44967,Chelsea Bright,gabriel.kirk@bilearner.com,Retirement,Soon glass reveal Republican could.,Technician,3747
George,Villegas,44175,Laura Mcpherson,george.villegas@bilearner.com,Involuntary,Truth resource more week hope generation.,Planner,3753
Arielle,Potts,44586,Sarah Morgan,arielle.potts@bilearner.com,Voluntary,Stage necessary although they.,Engineer,3754
Maxwell,Howell,44974,Emily Church,maxwell.howell@bilearner.com,Resignation,Scientist heart others employee church century.,Manager,3755
Salvatore,Noble,45011,Debra Yang,salvatore.noble@bilearner.com,Involuntary,Marriage sound myself others well morning wrong.,Lineman,3757
Heath,Hodges,45101,Alejandro Palmer,heath.hodges@bilearner.com,Retirement,Lawyer miss meet across agent.,Engineer,3758
Gabriella,Warner,44829,Emily Pugh,gabriella.warner@bilearner.com,Retirement,Authority different including gun production.,Laborer,3759
Hazel,Vincent,45117,Melissa Conrad,hazel.vincent@bilearner.com,Involuntary,Item born upon blue.,Assistant,3761
Giancarlo,Cross,44963,Randall Williams,giancarlo.cross@bilearner.com,Involuntary,They four last represent spend bit.,Clerk,3763
Elisa,Henry,44960,Taylor Morris,elisa.henry@bilearner.com,Resignation,Common no sure wonder up although.,Manager,3766
Kale,Fischer,44809,Zachary Nelson,kale.fischer@bilearner.com,Retirement,Actually on Democrat down live base should.,Laborer,3767
Nayeli,Hood,45027,Rachel Jones,nayeli.hood@bilearner.com,Involuntary,Land physical tax.,Lineman,3770
Marilyn,Smith,45053,Kathryn Jones,marilyn.smith@bilearner.com,Retirement,Catch issue water night recognize mention.,Foreman,3771
Zoie,Rowland,44764,Mrs. Rachel Henry,zoie.rowland@bilearner.com,Retirement,Side most force better region operation language.,Engineer,3772
Ann,Nguyen,44618,Laura Hernandez,ann.nguyen@bilearner.com,Retirement,Building possible too process do.,Engineer,3773
Ramiro,Savage,44482,Justin Stanley,ramiro.savage@bilearner.com,Involuntary,Success realize political move adult new.,Engineer,3774
Karma,Koch,44891,Amy Ross,karma.koch@bilearner.com,Resignation,Agency picture enjoy pattern since and piece.,Laborer,3775
Jacqueline,Hendrix,44499,Benjamin Yates,jacqueline.hendrix@bilearner.com,Resignation,Goal someone serious myself way probably.,Administrative,3776
Semaj,Griffith,45134,Frank Freeman,semaj.griffith@bilearner.com,Involuntary,Similar computer less four.,Groundman,3778
Damian,Burke,45049,Regina Bryant MD,damian.burke@bilearner.com,Voluntary,About allow court us.,Technician,3779
Jessie,Smith,44453,Samantha Roberts,jessie.smith@bilearner.com,Retirement,Everything look could economy PM fast.,Technician,3780
Hezekiah,Cummings,44686,Daniel Peterson,hezekiah.cummings@bilearner.com,Involuntary,Hot stay response fly himself accept.,Laborer,3781
Brody,House,43953,Dr. Matthew Harrell,brody.house@bilearner.com,Retirement,Blood people direction all item.,Driver,3782
Kyleigh,Bauer,44768,Paul Richards,kyleigh.bauer@bilearner.com,Resignation,Cost high must body defense population.,Technician,3786
Ramon,Schultz,45097,Alexis Gutierrez,ramon.schultz@bilearner.com,Resignation,Peace anything sign third.,Supervisor,3787
Maxim,Houston,45090,Michael Mcclure,maxim.houston@bilearner.com,Involuntary,In read day your stay she.,Foreman,3788
Frankie,Figueroa,45118,Matthew Le,frankie.figueroa@bilearner.com,Resignation,Simply Mrs moment seven feel time.,Laborer,3790
Alexia,Pham,44691,Angela Shaffer,alexia.pham@bilearner.com,Retirement,Analysis listen here fight.,Engineer,3792
Jefferson,White,44532,Connie Blackburn,jefferson.white@bilearner.com,Resignation,Better above culture throughout life me.,Laborer,3796
Bryanna,Ibarra,45111,Cheryl Martinez,bryanna.ibarra@bilearner.com,Voluntary,Town impact science learn break talk.,Lineman,3798
Kai,Holt,44562,Jason Haley,kai.holt@bilearner.com,Resignation,Cup arm drug place level table staff.,Tower Hand,3803
Isabella,Wilkins,45108,Maria Obrien,isabella.wilkins@bilearner.com,Resignation,Everybody list to. Green best stock yes happen.,Groundman,3806
Mayra,Moss,44510,George Doyle,mayra.moss@bilearner.com,Resignation,Family identify bar modern. Yeah article rest.,Manager,3807
Maria,Gonzalez,43910,Jason Miller,maria.gonzalez@bilearner.com,Resignation,Address control day. Election safe free capital.,Administrator,3808
Jumil,Turpin,44066,Raymond Bird,jumil.turpin@bilearner.com,Resignation,Somebody arm memory pull word.,Foreman,3809
Joe,South,44855,Robin Wilson,joe.south@bilearner.com,Involuntary,Back prove second tax air.,Engineer,3811
Sarah,Warfield,44049,Julie Lewis,sarah.warfield@bilearner.com,Resignation,Center west table security.,Administrative,3812
Jyoti,Lajiri,44079,Karen Crawford,jyoti.lajiri@bilearner.com,Retirement,Short quality fall name get science throughout.,Coordinator,3814
Linda,Dolan,44947,Jamie Baker,linda.dolan@bilearner.com,Resignation,Firm national vote result.,Technician,3817
Carlos,Merlos,44654,Daniel White,carlos.merlos@bilearner.com,Voluntary,Car book street pull try brother.,Technician,3818
Anita,Shepard,44337,George Tran,anita.shepard@bilearner.com,Voluntary,Pattern son memory power citizen personal unit.,Foreman,3820
Katrina,Lambert,44655,Calvin Williamson,katrina.lambert@bilearner.com,Retirement,Nice sit hotel doctor.,Technician,3822
Alexzander,Pope,45103,David Rodriguez,alexzander.pope@bilearner.com,Involuntary,Word once speech mind.,Supervisor,3823
Sabrina,Durham,45080,Jessica Hernandez,sabrina.durham@bilearner.com,Resignation,Part officer father last trouble field.,Laborer,3826
Jaqueline,Pittman,44253,Jesse Newman,jaqueline.pittman@bilearner.com,Resignation,Suffer rock nothing happen strong major spend.,Manager,3829
Sloane,Rasmussen,44833,Melinda Mcintyre,sloane.rasmussen@bilearner.com,Resignation,Lead throw others.,Planner,3832
Elise,Vazquez,44867,Melissa Baker,elise.vazquez@bilearner.com,Retirement,Partner discover size agency alone.,Top Hand,3833
Monique,Pierce,44413,Gregory Coleman,monique.pierce@bilearner.com,Involuntary,Participant candidate wonder growth agree.,Technician,3834
Axel,Higgins,44901,Paul Smith,axel.higgins@bilearner.com,Resignation,Try crime reach magazine their grow feeling.,Associate,3835
Mia,Cowan,44878,Thomas Weaver,mia.cowan@bilearner.com,Resignation,Often my different just.,Administrative,3837
Tanya,Leonard,44307,Duane Le,tanya.leonard@bilearner.com,Voluntary,Race state time lose.,Assistant,3838
Meadow,Boyer,45064,Alex Lewis,meadow.boyer@bilearner.com,Voluntary,Item type author pick set read style.,Foreman,3840
Kyla,Durham,44419,Clayton Robertson,kyla.durham@bilearner.com,Involuntary,Visit lawyer interesting.,Lineman,3842
Cassidy,Maddox,45137,Melissa Pineda,cassidy.maddox@bilearner.com,Resignation,Place field everyone yourself.,Engineer,3843
Edgar,Underwood,44791,Melissa Torres,edgar.underwood@bilearner.com,Voluntary,Church happen network dog kid thought.,Laborer,3844
Eugene,Potts,45061,Anthony Neal,eugene.potts@bilearner.com,Retirement,Fall often enjoy once house card something.,Driver,3846
Gilbert,Klein,43993,Gregory Rodriguez,gilbert.klein@bilearner.com,Retirement,Indeed compare I since possible something.,Laborer,3847
Kylie,Cantrell,44676,Cheryl Cook,kylie.cantrell@bilearner.com,Voluntary,Gas likely father read individual fly serve.,Administration,3850
Vance,Marquez,43920,Thomas Hanson,vance.marquez@bilearner.com,Resignation,Law particularly paper friend.,Manager,3851
Dante,Wyatt,44464,Dr. Eric Henderson,dante.wyatt@bilearner.com,Retirement,Modern fight pattern.,Laborer,3852
Rey,Monroe,44870,James Horn,rey.monroe@bilearner.com,Resignation,Rule yes maintain treatment.,Operator,3853
